Nom du site,Pays,Catégorie,Date de l'inscription,URL site,Image URL,Code ISO,Justification,Localisation,Région du monde,Description,coordinates
Major Town Houses of the Architect Victor Horta (Brussels),Belgium,Cultural,2000,https://whc.unesco.org/en/list/1005,,be,"Criterion (i): The Town Houses of Victor Horta in Brussels are works of human creative genius, representing the highest expression of the influential Art Nouveau style in art and architecture. 
 Criterion (ii): The appearance of Art Nouveau in the closing years of the 19th century marked a decisive stage in the evolution of architecture, making possible subsequent developments, and the Town Houses of Victor Horta in Brussels bear exceptional witness to its radical new approach. 
 Criterion (iv): The Town Houses of Victor Horta are outstanding examples of Art Nouveau architecture brilliantly illustrating the transition from the 19th to the 20th century in art, thought, and society.",,Europe and North America,"The four major town houses - Hôtel Tassel, Hôtel Solvay, Hôtel van Eetvelde, and Maison & Atelier Horta - located in Brussels and designed by the architect Victor Horta, one of the earliest initiators of Art Nouveau, are some of the most remarkable pioneering works of architecture of the end of the 19th century. The stylistic revolution represented by these works is characterised by their open plan, the diffusion of light, and the brilliant joining of the curved lines of decoration with the structure of the building.","50.82806, 4.36223"
Historic Centre of Salvador de Bahia,Brazil,Cultural,1985,https://whc.unesco.org/en/list/309,,br,,"Bahia State, north-east region of Brazil",Latin America and the Caribbean,"As the first capital of Brazil, from 1549 to 1763, Salvador de Bahia witnessed the blending of European, African and Amerindian cultures. It was also, from 1558, the first slave market in the New World, with slaves arriving to work on the sugar plantations. The city has managed to preserve many outstanding Renaissance buildings. A special feature of the old town are the brightly coloured houses, often decorated with fine stucco-work.","-12.96666667, -38.5"
Central Amazon Conservation Complex,Brazil,Natural,2000,https://whc.unesco.org/en/list/998,,br,"Criterion (ix): The varzea and igapó forests, lakes, rivers, and islands of the proposed site together constitute physical and biological formations and demonstrate ongoing ecological processes in the development of terrestrial and freshwater ecosystems. They include a constantly changing and evolving mosaic of river channels, lakes, and landforms. The floating (and constantly moving and changing) mats of vegetation typical of the varzea watercourses include a significant number of endemic species, including the largest array of electric fishes in the world. Anavilhanas contains the second largest archipelago of river islands in the Brazilian Amazon. 
 Criterion (x): The expanded property substantially increases the already impressive protection offered by Jaú National Park to the biological diversity, habitats, and endangered species found in the Central Amazon region. The area is one of the Endemic Bird Areas of the World, is considered as one of the World Wildlife Fund’s 200 Priority Ecoregion for Conservation, and it is also a Centre of Plant Diversity. The expansion of Jaú National Park to include an important sample of Varzea ecosystems, igapó forests, lakes and channels significantly increases the representation of the aquatic biodiversity of the Central Amazon region. Expansion of the site also enhance the protection of key threatened species including giant arapaima fish, the Amazonian manatee, the black caiman, and two species of river dolphin.",State of Amazonas,Latin America and the Caribbean,"The Central Amazon Conservation Complex makes up the largest protected area in the Amazon Basin (over 6 million hectares) and is one of the planet’s richest regions in terms of biodiversity. It also includes an important sample of varzea ecosystems, igapó forests, lakes and channels which take the form of a constantly evolving aquatic mosaic that is home to the largest array of electric fish in the world. The site protects key threatened species, including giant arapaima fish, the Amazonian manatee, the black caiman and two species of river dolphin.","-2.333333333, -62.00833333"
Historic District of Old Québec,Canada,Cultural,1985,https://whc.unesco.org/en/list/300,,ca,,"Province of Quebec, City of Quebec",Europe and North America,"Québec was founded by the French explorer Champlain in the early 17th century. It is the only North American city to have preserved its ramparts, together with the numerous bastions, gates and defensive works which still surround Old Québec. The Upper Town, built on the cliff, has remained the religious and administrative centre, with its churches, convents and other monuments like the Dauphine Redoubt, the Citadel and Château Frontenac. Together with the Lower Town and its ancient districts, it forms an urban ensemble which is one of the best examples of a fortified colonial city.","46.80944444, -71.21055556"
Chengjiang Fossil Site,China,Natural,2012,https://whc.unesco.org/en/list/1388,,cn,,,Asia and the Pacific,"A hilly 512 ha site in Yunnan province, Chengjiang’s fossils present the most complete record of an early Cambrian marine community with exceptionally preserved biota, displaying the anatomy of hard and soft tissues in a very wide variety of organisms, invertebrate and vertebrate. They record the early establishment of a complex marine ecosystem. The site documents at least sixteen phyla and a variety of enigmatic groups as well as about 196 species, presenting exceptional testimony to the rapid diversification of life on Earth 530 million years ago, when almost all of today’s major animal groups emerged. It opens a palaeobiological window of great significance to scholarship.","24.6688888889, 102.977222222"
Xinjiang Tianshan,China,Natural,2013,https://whc.unesco.org/en/list/1414,,cn,,,Asia and the Pacific,"Xinjiang Tianshan comprises four components—Tomur, Kalajun-Kuerdening, Bayinbukuke and Bogda— that total 606,833 hectares. They are part of the Tianshan mountain system of Central Asia, one of the largest mountain ranges in the world. Xinjiang Tianshan presents unique physical geographic features and scenically beautiful areas including spectacular snow and snowy mountains glacier-capped peaks, undisturbed forests and meadows, clear rivers and lakes and red bed canyons. These landscapes contrast with the vast adjacent desert landscapes, creating a striking visual contrast between hot and cold environments, dry and wet, desolate and luxuriant. The landforms and ecosystems of the site have been preserved since the Pliocene epoch and present an outstanding example of ongoing biological and ecological evolutionary processes. The site also extends into the Taklimakan Desert, one of the world’s largest and highest deserts, known for its large dune forms and great dust storms. Xinjiang Tianshan is moreover an important habitat for endemic and relic flora species, some rare and endangered.","41.9683333333, 80.3541666667"
Lower Valley of the Awash,Ethiopia,Cultural,1980,https://whc.unesco.org/en/list/10,,et,,Afar region,Africa,"The Awash valley contains one of the most important groupings of palaeontological sites on the African continent. The remains found at the site, the oldest of which date back at least 4 million years, provide evidence of human evolution which has modified our conception of the history of humankind. The most spectacular discovery came in 1974, when 52 fragments of a skeleton enabled the famous Lucy to be reconstructed.","11.10006, 40.57939"
"Fasil Ghebbi, Gondar Region",Ethiopia,Cultural,1979,https://whc.unesco.org/en/list/19,,et,,Amhara Region,Africa,"In the 16th and 17th centuries, the fortress-city of Fasil Ghebbi was the residence of the Ethiopian emperor Fasilides and his successors. Surrounded by a 900-m-long wall, the city contains palaces, churches, monasteries and unique public and private buildings marked by Hindu and Arab influences, subsequently transformed by the Baroque style brought to Gondar by the Jesuit missionaries.","12.60692, 37.46617"
Palace and Park of Fontainebleau,France,Cultural,1981,https://whc.unesco.org/en/list/160,,fr,,"Department of Seine-et-Marne, Ile-de-France",Europe and North America,"Used by the kings of France from the 12th century, the medieval royal hunting lodge of Fontainebleau, standing at the heart of a vast forest in the Ile-de-France, was transformed, enlarged and embellished in the 16th century by François I, who wanted to make a 'New Rome' of it. Surrounded by an immense park, the Italianate palace combines Renaissance and French artistic traditions.","48.40194444, 2.698055556"
Gelati Monastery,Georgia,Cultural,1994,https://whc.unesco.org/en/list/710,,ge,,,Europe and North America,"Founded in 1106 in the west of Georgia, the Monastery of Gelati is a masterpiece of the Golden Age of medieval Georgia, a period of political strength and economic growth between the 11th and 13th centuries. It is characterized by the facades of smoothly hewn large blocks, balanced proportions and blind arches for exterior decoration. The Gelati monastery, one of the largest medieval Orthodox monasteries, was also a centre of science and education and the Academy it housed was one of the most important centres of culture in ancient Georgia.","42.2947222222, 42.7683333333"
"Collegiate Church, Castle and Old Town of Quedlinburg",Germany,Cultural,1994,https://whc.unesco.org/en/list/535,,de,,State of Saxony-Anhalt (Sachsen-Anhalt),Europe and North America,"Quedlinburg, in the Land of Sachsen-Anhalt, was a capital of the East Franconian German Empire at the time of the Saxonian-Ottonian ruling dynasty. It has been a prosperous trading town since the Middle Ages. The number and high quality of the timber-framed buildings make Quedlinburg an exceptional example of a medieval European town. The Collegiate Church of St Servatius is one of the masterpieces of Romanesque architecture.","51.78333, 11.15"
Upper Middle Rhine Valley,Germany,Cultural,2002,https://whc.unesco.org/en/list/1066,,de,"Criterion (ii): As one of the most important transport routes in Europe, the Middle Rhine Valley has for two millennia facilitated the exchange of culture between the Mediterranean region and the north. 
 Criterion (iv): The Middle Rhine Valley is an outstanding organic cultural landscape, the present-day character of which is determined both by its geomorphological and geological setting and by the human interventions, such as settlements, transport infrastructure, and land-use, that it has undergone over two thousand years. 
 Criterion (v): The Middle Rhine Valley is an outstanding example of an evolving traditional way of life and means of communication in a narrow river valley. The terracing of its steep slopes in particular has shaped the landscape in many ways for more than two millennia. However, this form of land-use is under threat from the socio-economic pressures of the present day.",States of Rhineland-Palatinate (Rheinland-Pfalz) and  Hesse (Hessen),Europe and North America,"The 65km-stretch of the Middle Rhine Valley, with its castles, historic towns and vineyards, graphically illustrates the long history of human involvement with a dramatic and varied natural landscape. It is intimately associated with history and legend and for centuries has exercised a powerful influence on writers, artists and composers.","50.17361111, 7.694166667"
Garden Kingdom of Dessau-Wörlitz,Germany,Cultural,2000,https://whc.unesco.org/en/list/534,,de,"Criterion (ii): The Garden Kingdom of Dessau-Wörlitz is an outstanding example of the application of the philosophical principles of the Age of the Enlightenment to the design of a landscape that integrates art, education, and economy in a harmonious whole. 
 Criterion (iv): The 18th century was a seminal period for landscape design, of which the Garden Kingdom of Dessau-Wörlitz is an exceptional and wide-ranging illustration.",State of Saxony-Anhalt (Sachsen-Anhalt),Europe and North America,"The Garden Kingdom of Dessau-Wörlitz is an exceptional example of landscape design and planning of the Age of the Enlightenment, the 18th century. Its diverse components - outstanding buildings, landscaped parks and gardens in the English style, and subtly modified expanses of agricultural land - serve aesthetic, educational, and economic purposes in an exemplary manner.","51.8425, 12.42083"
Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,Hungary,Cultural,1996,https://whc.unesco.org/en/list/758,,hu,The Committee decided to inscribe the nominated property on the basis of cultural criteria (iv) and (vi) considering that the site is of outstanding universal value illustrating in an exceptional manner the structure and setting of an early Christian Monastery that has evolved over a thousand years of continuous use. Its location and the early date of its foundation bear unique witness to the propagation and continuity of Christianity in Central Europe.,County of Györ-Moson-Sopron,Europe and North America,"The first Benedictine monks settled here in 996. They went on to convert the Hungarians, to found the country's first school and, in 1055, to write the first document in Hungarian. From the time of its founding, this monastic community has promoted culture throughout central Europe. Its 1,000-year history can be seen in the succession of architectural styles of the monastic buildings (the oldest dating from 1224), which still today house a school and the monastic community.","47.55889, 17.78444"
Vatnajökull National Park - Dynamic Nature of Fire and Ice,Iceland,Natural,2019,https://whc.unesco.org/en/list/1604,,is,,,Europe and North America,"This iconic volcanic region covers an area of over 1,400,000 ha, nearly 14% of Iceland's territory. It numbers ten central volcanoes, eight of which are subglacial. Two of these are among the most active in Iceland. The interaction between volcanoes and the rifts that underlie the Vatnajökull ice cap takes many forms, the most spectacular of which is the jökulhlaup – a sudden flood caused by the breach of the margin of a glacier during an eruption. This recurrent phenomenon has led to the emergence of unique sandur plains, river systems and rapidly evolving canyons. Volcanic areas are home to endemic groundwater fauna that has survived the Ice Age.","64.577363, -16.8815404444"
"Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar",India,Cultural,2016,https://whc.unesco.org/en/list/1502,,in,,,Asia and the Pacific,"The Nalanda Mahavihara site is in the State of Bihar, in north-eastern India. It comprises the archaeological remains of a monastic and scholastic institution dating from the 3rd century BCE to the 13th century CE. It includes stupas, shrines, viharas (residential and educational buildings) and important art works in stucco, stone and metal. Nalanda stands out as the most ancient university of the Indian Subcontinent. It engaged in the organized transmission of knowledge over an uninterrupted period of 800 years. The historical development of the site testifies to the development of Buddhism into a religion and the flourishing of monastic and educational traditions.","25.1366666667, 85.4438888889"
Shushtar Historical Hydraulic System,Iran (Islamic Republic of),Cultural,2009,https://whc.unesco.org/en/list/1315,,ir,,,Asia and the Pacific,"Shushtar, Historical Hydraulic System, inscribed as a masterpiece of creative genius, can be traced back to Darius the Great in the 5th century B.C. It involved the creation of two main diversion canals on the river Kârun one of which, Gargar canal, is still in use providing water to the city of Shushtar via a series of tunnels that supply water to mills. It forms a spectacular cliff from which water cascades into a downstream basin. It then enters the plain situated south of the city where it has enabled the planting of orchards and farming over an area of 40,000 ha. known as Mianâb (Paradise). The property has an ensemble of remarkable sites including the Salâsel Castel, the operation centre of the entire hydraulic system, the tower where the water level is measured, damns, bridges, basins and mills. It bears witness to the know-how of the Elamites and Mesopotamians as well as more recent Nabatean expertise and Roman building influence.","32.0186111111, 48.8358333333"
Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,Israel,Cultural,2014,https://whc.unesco.org/en/list/1370,,il,,,Europe and North America,"The archaeological site contains some 3,500 underground chambers distributed among distinct complexes carved in the thick and homogenous soft chalk of Lower Judea under the former towns of Maresha and Bet Guvrin. Situated on the crossroads of trade routes to Mesopotamia and Egypt, the site bears witness to the region’s tapestry of cultures and their evolution over more than 2,000 years from the 8th century BCE—when Maresha, the older of the two towns was built—to the time of the Crusaders. These quarried caves served as cisterns, oil presses, baths, columbaria (dovecotes), stables, places of religious worship, hideaways and, on the outskirts of the towns, burial areas. Some of the larger chambers feature vaulted arches and supporting pillars.","31.6, 34.8955555556"
Late Baroque Towns of the Val di Noto (South-Eastern Sicily),Italy,Cultural,2002,https://whc.unesco.org/en/list/1024,,it,"Criterion (i): This group of towns in south-eastern Sicily provides outstanding testimony to the exuberant genius of late Baroque art and architecture. 
 Criterion (ii): The towns of the Val di Noto represent the culmination and final flowering of Baroque art in Europe. 
 Criterion (iv): The exceptional quality of the late Baroque art and architecture in the Val di Noto lies in its geographical and chronological homogeneity, as well as its quantity, the result of the 1693 earthquake in this region. 
 Criterion (v): The eight towns of south-eastern Sicily that make up this nomination, which are characteristic of the settlement pattern and urban form of this region, are permanently at risk from earthquakes and eruptions of Mount Etna.","Provinces of Catania, Ragusa, and Syracuse, Sicily",Europe and North America,"The eight towns in south-eastern Sicily: Caltagirone, Militello Val di Catania, Catania, Modica, Noto, Palazzolo, Ragusa and Scicli, were all rebuilt after 1693 on or beside towns existing at the time of the earthquake which took place in that year. They represent a considerable collective undertaking, successfully carried out at a high level of architectural and artistic achievement. Keeping within the late Baroque style of the day, they also depict distinctive innovations in town planning and urban building.","36.89319444, 15.06891667"
Urnes Stave Church,Norway,Cultural,1979,https://whc.unesco.org/en/list/58,,no,,,Europe and North America,"The wooden church of Urnes (the stavkirke) stands in the natural setting of Sogn og Fjordane. It was built in the 12th and 13th centuries and is an outstanding example of traditional Scandinavian wooden architecture. It brings together traces of Celtic art, Viking traditions and Romanesque spatial structures.","61.3, 7.33333"
Garrison Border Town of Elvas and its Fortifications,Portugal,Cultural,2012,https://whc.unesco.org/en/list/1367,,pt,"Criterion (iv): Elvas is the largest complex of dry-ditched bulwarked land fortifications in the world surviving to the present day.The bulwarked fortifications of the Historic Centre are the best extant evidence of the Old Dutch Method of fortification in the world. Fort of Santa Luzia is paradigmatic of the highly functional character of bulwarked military architecture, in sacrificing a perfect - and redundant -geometric regularity in order to maximize the military effectiveness of the territorial defensive system to which it belongs. The excellence of design and construction of the Fort of Graça, in a situation also conditioned strongly by its location and available space. At the end of the 18th century, experienced European military men already thought so, among them Christian, Prince of Waldeck (Principality of Germany), engaged with the post of Marshal, on 10 March 1797 to assist the Commander-in-Chief of the Portuguese army. From his journey of inspection made in 1798, the following reference to the fort remains: “The fort continues to be a masterpiece of fortification, incorporating all the skill and art available at the time (…)”.",,Europe and North America,"The site, extensively fortified from the 17th to 19th centuries, represents the largest bulwarked dry-ditch system in the world. Within its walls, the town contains barracks and other military buildings as well as churches and monasteries. While Elvas contains remains dating back to the 10th century ad, its fortification began when Portugal regained independence in 1640. The fortifications designed by Dutch Jesuit padre Cosmander represent the best surviving example of the Dutch school of fortifications anywhere. The site also contains the Amoreira aqueduct, built to enable the stronghold to withstand lengthy sieges.","38.8806194444, -7.1633222222"
Assumption Cathedral and Monastery of the town-island of Sviyazhsk,Russian Federation,Cultural,2017,https://whc.unesco.org/en/list/1525,,ru,,,Europe and North America,"The Assumption Cathedral is located in the town-island of Sviyazhsk and is part of the monastery of the same name. Situated at the confluence of the Volga, the Sviyaga and the Shchuka rivers, at the crossroads of the Silk and Volga routes, Sviyazhsk was founded by Ivan the Terrible in 1551. It was from this outpost that he initiated the conquest of the Kazan Khanate. The Assumption Monastery illustrates in its location and architectural composition the political and missionary programme developed by Tsar Ivan IV to extend the Moscow state. The cathedral’s frescoes are among the rarest examples of Eastern Orthodox mural paintings.","55.7702777778, 48.6527777778"
Brimstone Hill Fortress National Park,Saint Kitts and Nevis,Cultural,1999,https://whc.unesco.org/en/list/910,,kn,"Criterion (iii): Brimstone Hill is an outstanding British fortress, built by slave labour to exact standards during a peak period of European colonial expansion in the Caribbean. Criterion (iv): Because of its strategic layout and construction, Brimstone Hill Fortress is an exceptional and well preserved example of 17th and 18th century British military architecture.","Parish of St Thomas, St Christopher 

(St Kitts)",Latin America and the Caribbean,"Brimstone Hill Fortress National Park is an outstanding, well-preserved example of 17th- and 18th-century military architecture in a Caribbean context. Designed by the British and built by African slave labour, the fortress is testimony to European colonial expansion, the African slave trade and the emergence of new societies in the Caribbean.","17.34694, -62.83722"
Fossil Hominid Sites of South Africa,South Africa,Cultural,1999,https://whc.unesco.org/en/list/915,,za,,"Gauteng, Limpopo and North-west provinces",Africa,"The Taung Skull Fossil Site, part of the extension to the site inscribed in 1999, is the place where in 1924 the celebrated Taung Skull – a specimen of the species Australopithecus africanus – was found. Makapan Valley, also in the site, features in its many archaeological caves traces of human occupation and evolution dating back some 3.3 million years. The area contains essential elements that define the origin and evolution of humanity. Fossils found there have enabled the identification of several specimens of early hominids, more particularly of Paranthropus, dating back between 4.5 million and 2.5 million years, as well as evidence of the domestication of fire 1.8 million to 1 million years ago.","-24.15861, 29.17694"
Cape Floral Region Protected Areas,South Africa,Natural,2004,https://whc.unesco.org/en/list/1007,,za,,,Africa,"Inscribed on the World Heritage List in 2004, the property is located at the south-western extremity of South Africa. It is one of the world’s great centres of terrestrial biodiversity. The extended property includes national parks, nature reserves, wilderness areas, State forests and mountain catchment areas. These elements add a significant number of endemic species associated with the Fynbos vegetation, a fine-leaved sclerophyllic shrubland adapted to both a Mediterranean climate and periodic fires, which is unique to the Cape Floral Region.","-34.3611111111, 18.475"
Santiago de Compostela (Old Town),Spain,Cultural,1985,https://whc.unesco.org/en/list/347,,es,,"Province of A Coruña, Autonomous Community of Galicia",Europe and North America,"This famous pilgrimage site in north-west Spain became a symbol in the Spanish Christians' struggle against Islam. Destroyed by the Muslims at the end of the 10th century, it was completely rebuilt in the following century. With its Romanesque, Gothic and Baroque buildings, the Old Town of Santiago is one of the world's most beautiful urban areas. The oldest monuments are grouped around the tomb of St James and the cathedral, which contains the remarkable Pórtico de la Gloria.","42.88076, -8.54468"
Engelsberg Ironworks,Sweden,Cultural,1993,https://whc.unesco.org/en/list/556,,se,,Västmanland,Europe and North America,Sweden's production of superior grades of iron made it a leader in this field in the 17th and 18th centuries. This site is the best-preserved and most complete example of this type of Swedish ironworks.,"59.96667, 16.00833"
Dorset and East Devon Coast,United Kingdom of Great Britain and Northern Ireland,Natural,2001,https://whc.unesco.org/en/list/1029,,gb,"Criterion (viii): The coastal exposures within the site provide an almost continuous sequence of Triassic, Jurassic and Cretaceous rock formations spanning the Mesozoic Era and document approximately 185 million years of Earth history. The site includes a range of internationally important fossil localities – both vertebrate and invertebrate, marine and terrestrial - which have produced well preserved and diverse evidence of life during Mesozoic times.","Dorset and East Devon, England",Europe and North America,"The cliff exposures along the Dorset and East Devon coast provide an almost continuous sequence of rock formations spanning the Mesozoic Era, or some 185 million years of the earth's history. The area's important fossil sites and classic coastal geomorphologic features have contributed to the study of earth sciences for over 300 years.","50.70555556, -2.989888889"
Heart of Neolithic Orkney,United Kingdom of Great Britain and Northern Ireland,Cultural,1999,https://whc.unesco.org/en/list/514,,gb,"Criteria (i), (ii), (iii), and (iv): The monuments of Orkney, dating back to 3000-2000 BC, are outstanding testimony to the cultural achievements of the Neolithic peoples of northern Europe.","Mainland Orkney, Scotland<br>

<a href=514-loc.htm>Multiple locations</a>",Europe and North America,"The group of Neolithic monuments on Orkney consists of a large chambered tomb (Maes Howe), two ceremonial stone circles (the Stones of Stenness and the Ring of Brodgar) and a settlement (Skara Brae), together with a number of unexcavated burial, ceremonial and settlement sites. The group constitutes a major prehistoric cultural landscape which gives a graphic depiction of life in this remote archipelago in the far north of Scotland some 5,000 years ago.","58.99605556, -3.188666667"
Mammoth Cave National Park,United States of America,Natural,1981,https://whc.unesco.org/en/list/150,,us,,"Counties of Barren, Edmonson, and Hart in the State of Kentucky",Europe and North America,"Mammoth Cave National Park, located in the state of Kentucky, has the world's largest network of natural caves and underground passageways, which are characteristic examples of limestone formations. The park and its underground network of more than 560 surveyed km of passageways are home to a varied flora and fauna, including a number of endangered species.","37.18722222, -86.10305556"
Great Zimbabwe National Monument,Zimbabwe,Cultural,1986,https://whc.unesco.org/en/list/364,,zw,,,Africa,"The ruins of Great Zimbabwe – the capital of the Queen of Sheba, according to an age-old legend – are a unique testimony to the Bantu civilization of the Shona between the 11th and 15th centuries. The city, which covers an area of nearly 80 ha, was an important trading centre and was renowned from the Middle Ages onwards.","-20.28333333, 30.93333333"
Prehistoric Pile Dwellings around the Alps,"Austria,France,Germany,Italy,Slovenia,Switzerland",Cultural,2011,https://whc.unesco.org/en/list/1363,,"at,fr,de,it,si,ch",,,Europe and North America,"This serial property of 111 small individual sites encompasses the remains of prehistoric pile-dwelling (or stilt house) settlements in and around the Alps built from around 5000 to 500 B.C. on the edges of lakes, rivers or wetlands. Excavations, only conducted in some of the sites, have yielded evidence that provides insight into life in prehistoric times during the Neolithic and Bronze Age in Alpine Europe and the way communities interacted with their environment. Fifty-six of the sites are located in Switzerland. The settlements are a unique group of exceptionally well-preserved and culturally rich archaeological sites, which constitute one of the most important sources for the study of early agrarian societies in the region.","47.2783333333, 8.2075"
Ningaloo Coast,Australia,Natural,2011,https://whc.unesco.org/en/list/1369,,au,,,Asia and the Pacific,"The 604,500 hectare marine and terrestrial property of Ningaloo Coast, on the remote western coast of Australia, includes one of the longest near-shore reefs in the world. On land the site features an extensive karst system and network of underground caves and water courses. Annual gatherings of whale sharks occur at Ningaloo Coast, which is home to numerous marine species, among them a wealth of sea turtles. The terrestrial part of the site features subterranean water bodies with a substantial network of caves, conduits, and groundwater streams. They support a variety of rare species that contribute to the exceptional biodiversity of the marine and terrestrial site","-22.5625, 113.810277778"
Ancient Villages in Southern Anhui – Xidi and Hongcun,China,Cultural,2000,https://whc.unesco.org/en/list/1002,,cn,"Criterion (iii): The villages of Xidi and Hongcun are graphic illustrations of a type of human settlement created during a feudal period and based on a prosperous trading economy. 
 Criterion (iv): In their buildings and their street patterns, the two villages of southern Anhui reflect the socio-economic structure of a long-lived settled period of Chinese history. 
 Criterion (v): The traditional non-urban settlements of China, which have to a very large extent disappeared during the past century, are exceptionally well preserved in the villages of Xidi and Hongcun.","Yi county, Huangshan city, Anhui Province",Asia and the Pacific,"The two traditional villages of Xidi and Hongcun preserve to a remarkable extent the appearance of non-urban settlements of a type that largely disappeared or was transformed during the last century. Their street plan, their architecture and decoration, and the integration of houses with comprehensive water systems are unique surviving examples.","29.90444444, 117.9875"
